article,noun,plural,english
der,Enkel,Enkel,Grandson
die,Attraktion,Attraktionen,Attraction
der,Hang,Hänge,Slope
das,Futter,kein Pl.,Feed
das,Ankleiden,kein Pl.,Dressing
die,Mathematik,kein Pl.,Math
das,Kapitel,Kapitel,Chapter
die,Ranch,Ranches,Ranch
die,Struktur,Strukturen,Structure
das,Tageslicht,kein Pl.,Daylight
der,Fehler,Fehler,Error/Fault
die,Wahrheit,Wahrheiten,Truth
der,Leser,Leser,Reader
die,Wildnis,kein Pl.,Wilderness
der,Ritter,Ritter,Knight
der,Saum,Säume,Hem
die,Aktivität,Aktivitäten,Activity
die,Zeit,Zeiten,Time
das,Fernglas,Ferngläser,Binoculars
der,Regisseur,Regisseure,Director
die,Nichte,Nichten,Niece
der,Nachbar,Nachbarn,Neighbor
die,Säure,Säuren,Acid
das,Eichhörnchen,Eichhörnchen,Squirrel
der,Kumpel,Kumpel,Buddy
das,Material,Materialien,Material
die,Cola,kein Pl.,Coke
der,Seufzer,Seufzer,Sigh
der,Druck,Drücke,Pressure/Print
die,Kapazität,Kapazitäten,Capacity
der,Wohnsitz,Wohnsitze,Residence
die,Aufmerksamkeit,kein Pl.,Attention
der,Ruhestand,kein Pl.,Retirement
die,Ausnahme,Ausnahmen,Exception
das,Bildung,kein Pl.,Education
der,Hirte,Hirten,Shepherd
die,Ratte,Ratten,Rat
der,Schluck,Schlucke,Sip
der,Tiger,Tiger,Tiger
die,Zigarette,Zigaretten,Cigarette
der,Minister,Minister,Minister
die,Illusion,Illusionen,Illusion
der,Boxer,Boxer,Boxer
die,Expedition,Expeditionen,Expedition
die,Stärke,Stärken,Strength
der,Schnaps,Schnäpse,Liquor
der,Park,Parks,Park
die,Abdeckung,Abdeckungen,Cover
die,Existenz,kein Pl.,Existence
die,Dichtung,Dichtungen,Seal
die,Furcht,kein Pl.,Dread
der,Lavendel,kein Pl.,Lavender
das,Phänomen,Phänomene,Phenomenon
der,Totschlag,Totschläge,Homicide
der,Übersetzer,Übersetzer,Translator
die,Liga,Ligen,League
die,Perle,Perlen,Bead/Pearl
der,Feldwebel,Feldwebel,Sergeant
der,Stiefel,Stiefel,Boot
der,Vampir,Vampire,Vampire
die,Wahrnehmung,Wahrnehmungen,Perception
die,Physik,kein Pl.,Physics
der,Reis,kein Pl.,Rice
das,Skript,Skripte,Script
die,Reparatur,Reparaturen,Repair
die,Statue,Statuen,Statue
das,Sitzen,kein Pl.,Sitting
der,Engel,Engel,Angel
die,Belüftung,Belüftungen,Vent
der,Narr,Narren,Fool
das,Waschbecken,Waschbecken,Sink
das,Seil,Seile,Rope
die,Richtung,Richtungen,Direction
die,Bestrafung,Bestrafungen,Punishment
das,Risiko,Risiken,Risk
die,Fliese,Fliesen,Tile
der,Einwand,Einwände,Objection
der,Dinosaurier,Dinosaurier,Dinosaur
die,Wiederherstellung,Wiederherstellungen,Recovery
die,Versorgung,Versorgungen,Supply
der,Hersteller,Hersteller,Maker
die,Ladung,Ladungen,Cargo/Load
der,Eingeborene,Eingeborenen,Native
die,Villa,Villen,Mansion
das,Menü,Menüs,Menu
die,Bemerkung,Bemerkungen,Remark
die,Division,Divisionen,Division
das,Imperium,Reiche,Empire
die,Axt,Äxte,Axe
die,Umwelt,Umwelten,Environment
der,Kristall,Kristalle,Crystal
die,Bucht,Buchten,Bay
das,Abenteuer,Abenteuer,Adventure
der,Terrorist,Terroristen,Terrorist
die,Höhe,Höhen,Height
die,Bibliothek,Bibliotheken,Library
die,Umarmung,Umarmungen,Embrace/Hug
der,Anstieg,Anstiege,Rise
das,Lebewesen,Lebewesen,Creature
die,Kuppel,Kuppeln,Dome
der,Verbrecher,Verbrecher,Criminal
der,Dummkopf,Dummköpfe,Patsy
der,Drache,Drachen,Dragon
die,Not,kein Pl.,Distress
der,Baseball,Baseballs,Baseball
der,Carter,Carter,Carter
die,Anwesenheit,kein Pl.,Presence
die,Bekanntschaft,Bekanntschaften,Acquaintance
die,Seite,Seiten,Page/Side
das,Erdbeben,Erdbeben,Earthquake
der,Rohrkolben,Rohrkolben,Reed
der,Zapfen,Zapfen,Peg
der,Mittagsschlaf,Mittagsschläfe,Nap
der,Kontakt,Kontakte,Contact
die,Glocke,Glocken,Bell
das,Timing,Timingen,Timing
die,Lobby,Lobbys,Lobby
der,Code,Codes,Code
die,Wärme,kein Pl.,Warmth
die,Silbe,Silben,Syllable
der,Techniker,Techniker,Technician
der,Stock,Stöcke,Cane/Stick
der,Sport,Sportarten,Sport
der,Ehemann,Ehemänner,Husband
der,Generator,Generatoren,Generator
die,Feier,Feiern,Celebration
das,Tennis,kein Pl.,Tennis
die,Vorfreude,kein Pl.,Anticipation
die,Nation,Nationen,Nation
das,Gebäudekomplex,Gebäudekomplexe,Complex
der,Biss,Bisse,Bite
der,Stromkreis,Stromkreise,Circuit
das,Gelenk,Gelenke,Joint/Knuckle
die,Faust,Fäuste,Fist
der,Gouverneur,Gouverneure,Governor
der,Tänzer,Tänzer,Dancer
die,Flüssigkeit,Flüssigkeiten,Fluid/Liquid
das,Ego,Egos,Ego
die,Rebe,Reben,Vine
die,Süße,kein Pl.,Sweet
die,Gruppe,Gruppen,Group
das,Fahrrad,Fahrräder,Bicycle
das,Badezimmer,Badezimmer,Bathroom
die,Abbiegung,Abbiegungen,Turning
die,Zukunft,Zukunft,Future
die,Verbreitung,Verbreitungen,Spread
das,Mitgefühl,kein Pl.,Compassion/Sympathy
die,Birke,Birken,Birch
die,Pfeife,Pfeifen,Pipe/Whistle
der,Zufall,Zufälle,Coincidence
die,Lücke,Lücken,Gap
der,Priester,Priester,Priest
der,Index,Indizes,Index
die,Hölle,kein Pl.,Hell
der,Cocktail,Cocktails,Cocktail
der,Zahnarzt,Zahnärzte,Dentist
der,Appell,Appelle,Plea
die,Mülldeponie,Mülldeponien,Dump
der,Schlamm,kein Pl.,Mud
der,Bach,Bäche,Creek
der,Bauer,Bauern,Farmer/Peasant
der,Lohn,Löhne,Pay
das,Abteil,Abteile,Compartment
die,Grille,Grillen,Cricket
die,Taverne,Tavernen,Tavern
das,Getriebe,Getriebe,Gear
die,Konsole,Konsolen,Console
das,Jahr,Jahre,Year
das,Treffen,Treffen,Gathering/Meeting
der,Kaugummi,Kaugummis,Gum
das,Visier,Visiere,Visor
der,Witz,Witze,Joke/Wit
die,Gefriertruhe,Gefriertruhen,Freezer
der,Süden,kein Pl.,South
der,Titel,Titel,Title
das,Kasino,Kasinos,Casino
der,Klumpen,Klumpen,Clump/Hank
das,Öl,kein Pl.,Oil
die,Hälfte,Hälften,Half
das,Juwel,Juwelen,Jewel
das,Jubiläum,Jubiläen,Anniversary
die,Veranda,Veranden,Porch
das,Publikum,kein Pl.,Audience
die,Einrichtung,Einrichtungen,Facility
die,Identität,Identitäten,Identity
das,Meer,Meere,Sea
das,Leder,kein Pl.,Leather
die,Poesie,kein Pl.,Poetry
der,Sänger,Sängerinnen,Singer
das,Sprichwort,Sprichwörter,Saying
das,Ostern,kein Pl.,Easter
die,Krone,Kronen,Crown
die,Schwimmhilfe,Schwimmhilfen,Float
das,Schach,kein Pl.,Chess
die,Konvention,Konventionen,Convention
die,Hose,Hosen,Hose/Pant
das,Treppenhaus,Treppenhäuser,Stairwell
das,Verfahren,Verfahren,Procedure
die,Firma,Firmen,Firm
die,Hütte,Hütten,Cottage/Shack
der,Holster,Holster,Holster
der,Teller,Teller,Plate/Platter
der,Kreis,Kreise,Circle
der,Fuß,Füße,Foot
der,Saft,Säfte,Juice
die,Fiktion,kein Pl.,Fiction
die,Leichtigkeit,kein Pl.,Ease
die,Stirnrunzeln,Stirnrunzeln,Frown
der,Rock,Röcke,Skirt
die,Lava,Lava,Lava
das,Feuer,Feuer,Fire
der,Sessel,Sessel,Armchair
der,Direktor,Direktoren,Principal
das,Veilchen,Veilchen,Violet
die,Wette,Wetten,Bet
die,Banane,Bananen,Banana
die,Übertragung,Übertragungen,Transmission
die,Kunst,kein Pl.,Art
die,Zigarre,Zigarren,Cigar
der,Schüler,Schüler,Pupil
das,Fleisch,kein Pl.,Flesh/Meat
der,Deutsche,Deutschen,German
das,Achselzucken,kein Pl.,Shrug
die,Krankenschwester,Krankenschwestern,Nurse
das,Archiv,Archive,Archive
der,Weise,Weisen,Sage
der,Erfolg,Erfolge,Success
das,Kinn,Kinne,Chin
die,Strategie,Strategien,Strategy
die,Essenz,Essenzen,Essence
der,Halt,Halte,Halt/Stop
die,Ankunft,Ankünfte,Arrival
der,Pfirsich,Pfirsiche,Peach
der,Gipfel,Gipfel,Peak
der,Großelternteil,Großelternteile,Grandparent
die,Unterwäsche,Unterwäsche,Underwear
der,Freak,Freaks,Freak
die,Zwischenzeit,Zwischenzeiten,Meantime
das,Symbol,Symbole,Symbol
die,Reichweite,Reichweiten,Reach
das,Chili,Chilis,Chili
der,Schluss,Schlüsse,Conclusion
die,Klarheit,kein Pl.,Clarity
die,Konsequenz,Konsequenzen,Consequence
der,Verkehr,kein Pl.,Traffic
die,Stimmung,Stimmungen,Mood
der,Austausch,Austausche,Exchange
die,Prinzessin,Prinzessinnen,Princess
das,Erz,Erze,Ore
die,Pfanne,Pfannen,Pan
das,Tratschen,kein Pl.,Gossip
die,Nacht,Nächte,Night
der,Aufruhr,Aufruhr,Riot
die,Mama,Mamas,Mommy
der,Zug,Züge,Train/Pull
der,Anwalt,Anwälte,Attorney/Lawyer
der,Status,Stati,Status
der,Nebel,kein Pl.,Fog/Mist
der,Schnurrbart,Schnurrbärte,Mustache
der,Ingwer,kein Pl.,Ginger
der,Verlust,Verluste,Loss
das,Herz,Herzen,Heart
das,Datum,Daten,Date
das,Scharnier,Scharniere,Hinge
die,Diskussion,Diskussionen,Discussion
der,Schläger,Schläger,Thug
der,Müll,kein Pl.,Garbage/Junk
der,Ellenbogen,Ellenbogen,Elbow
das,Wort,Wörter,Word
der,Rückzugsort,Rückzugsorte,Retreat
das,Leben,Leben,Life/Lifetime
das,Maximum,Maxima,Maximum
die,Möglichkeit,Möglichkeiten,Possibility
der,Marker,Marker,Marker
die,Dame,Damen,Lady
der,Heilige,Heiligen,Saint
der,Ort,Orte,Place
die,Aufnahme,Aufnahmen,Recording
der,Chirurg,Chirurgen,Surgeon
der,Sieg,Siege,Victory
der,Fußball,Fußbälle,Football/Soccer
das,Knurren,Knurren,Growl
der,Knoten,Knoten,Knot
die,Zeremonie,Zeremonien,Ceremony
die,Rückkehr,Rückkehr,Return
das,Gebäude,Gebäude,Building
der,Absolvent,Absolventen,Graduate
das,Kleidungsstück,Kleidungsstücke,Garment
der,Flur,Flure,Hallway
der,Gewinner,Gewinner,Winner
das,Verschwimmen,kein Pl.,Blur
das,Institut,Institute,Institute
der,Passant,Passanten,PasserBy
die,Zwiebel,Zwiebeln,Onion
die,Gasse,Gassen,Alley
der,Ermittler,Ermittler,Investigator
die,Dankbarkeit,kein Pl.,Gratitude
die,Note,Noten,Grade
die,Erbse,Erbsen,Pea
die,Flotte,Flotten,Fleet
die,Verletzung,Verletzungen,Injury
der,Fortschritt,kein Pl.,Advance/Progress
das,Motel,Motels,Motel
die,Alternative,Alternativen,Alternative
der,Schlaganfall,Schlaganfälle,Stroke
der,Vorfall,Vorfälle,Incident
der,Kronleuchter,Kronleuchter,Chandelier
das,Parken,kein Pl.,Parking
der,Spielplatz,Spielplätze,Playground
die,Brandung,kein Pl.,Surf
der,Diamant,Diamanten,Diamond
das,Versprechen,Versprechen,Promise
das,Ziel,Ziele,Aim/Destination
der,Schaft,Schäfte,Shaft
der,Winkel,Winkel,Angle
der,Wangenknochen,Wangenknochen,Cheekbone
der,Gast,Gäste,Guest
das,Metall,Metalle,Metal
die,Weisheit,kein Pl.,Wisdom
der,Gruß,Grüße,Greeting
die,Küste,Küsten,Coast/Shore
die,Forderung,Forderungen,Claim
der,Prozess,Prozesse,Process/Trial
das,Quadrat,Quadrate,Square
das,Schaf,Schafe,Sheep
der,Tourist,Touristen,Tourist
das,Semester,Semester,Semester
das,Tempo,kein Pl.,Pace
das,Festmahl,Festmahle,Feast
das,Gelände,Gelände,Terrain
die,Musik,kein Pl.,Music
der,Russe,Russen,Russian
der,Punk,Punks,Punk
die,Unschuld,kein Pl.,Innocence
das,Intervall,Intervalle,Interval
der,Ast,Äste,Branch
das,Spiel,Spiele,Game/Match
das,Waisenkind,Waisenkinder,Orphan
der,Empfang,Empfänge,Reception
der,Zaun,Zäune,Fence
die,Peinlichkeit,Peinlichkeiten,Embarrassment
der,Terror,kein Pl.,Terror
die,Leiche,Leichen,Corpse
der,Scheck,Schecks,Check
der,Jazz,kein Pl.,Jazz
die,Ausgabe,Ausgaben,Edition/Issue
das,Telefon,Telefone,Phone/Telephone
die,Tafel,Tafeln,Board/Bar
der,Verdacht,Verdächte,Suspicion
der,Wunsch,Wünsche,Wish
der,Oberschenkel,Oberschenkel,Thigh
die,Therapie,Therapien,Therapy
der,Stift,Stifte,Pen
die,Frustration,kein Pl.,Frustration
die,Falle,Fallen,Trap
die,Ameise,Ameisen,Ant
der,Würfel,Würfel,Cube/Dice
das,Geständnis,Geständnisse,Confession
der,Verstand,Verstand,Mind
der,Unfall,Unfälle,Accident
das,Motiv,Motive,Motive
der,Winter,Winter,Winter
das,Eisen,Eisen,Iron
der,Schwanz,Schwänze,Tail
die,Großmutter,Großmutter,Grandmother
die,Dunkelheit,kein Pl.,Darkness
der,Mittag,kein Pl.,Noon
die,Lektion,Lektionen,Lesson
die,Skala,Skalen,Scale
die,Bohne,Bohnen,Bean
der,Glaube,kein Pl.,Belief/Faith
der,Thron,Throne,Throne
der,Ruhm,kein Pl.,Fame/Glory
der,Einblick,Einblicke,Insight
das,Motorrad,Motorräder,Motorcycle
die,Badewanne,Badewannen,Tub
der,Trainer,Trainer,Coach
die,Runde,Runden,Round
der,Bau,Bau,Construction
die,Offenbarung,Offenbarungen,Revelation
der,Prinz,Prinzen,Prince
die,Decke,Decken,Blanket/Ceiling
der,Herzschlag,Herzschläge,Heartbeat
der,Schmuck,kein Pl.,Jewelry
der,Hammer,Hämmer,Hammer
die,Stute,Stuten,Mare
die,Länge,kein Pl.,Length
der,Planet,Planeten,Planet
der,Cousin,Cousins,Cousin
das,Magazin,Magazine,Magazine
der,Tag,Tage,Day
die,Rutsche,Rutschen,Slide
die,Scheibe,Scheiben,Disk/Pane
die,Jeans,Jeans,Jeans
die,Sahne,Sahne,Cream
der,Boulevard,Boulevards,Boulevard
der,Rauch,Rauch,Smoke
die,Explosion,Explosionen,Blast/Explosion
das,Ohr,Ohren,Ear
das,Atelier,Ateliers,Studio
der,Stumpf,Stümpfe,Stump
die,Organisation,Organisationen,Organization
die,Sonnenbrille,Sonnenbrillen,Sunglasses
das,Trikot,Trikots,Jersey
die,Tunika,Tuniken,Tunic
das,Pfund,Pfunde,Pound
die,Freundin,Freundinnen,Girlfriend
das,Denken,kein Pl.,Thinking
die,Lenkung,Lenkungen,Steering
der,Tunnel,Tunnel,Tunnel
die,Lilie,Lilien,Lily
das,Fauchen,Fauchen,Hiss
der,Lastwagen,Lastwagen,Truck
das,Flüstern,Flüster,Whisper
die,Beschreibung,Beschreibungen,Description
der,Arbeiter,Arbeiter,Worker
der,Komfort,kein Pl.,Comfort
der,Schnabel,Schnäbel,Beak
das,Dorf,Dörfer,Village
das,Etikett,Etiketten,Label
der,Schleier,Schleier,Veil
der,Einsatz,Einsätze,Operation/Dedication 
das,Weiß,kein Pl.,White
die,Knospe,Knospen,Bud
die,Rampe,Rampen,Ramp
das,Königreich,Königreiche,Kingdom
der,Hagel,kein Pl.,Hail
die,Ewigkeit,kein Pl.,Eternity
die,Welt,Welten,World
die,Wand,Wände,Wall
die,Fakultät,Fakultäten,Faculty
der,Therapeut,Therapeuten,Therapist
der,Besucher,Besucher,Visitor
die,Brille,Brillen,Goggle
das,Elend,kein Pl.,Misery
die,Termin,Termine,Appointment
der,Kip,Kips,Kip
der,Lieferwagen,Lieferwagen,Van
die,Persönlichkeit,Persönlichkeiten,Personality
der,Teenager,Teenager,Teenager
der,Italiener,Italiener,Italian
der,Rasierer,Rasierer,Razor
die,Gefahr,Gefahren,Danger
der,Kritiker,Kritiker,Critic
der,Baron,Barone,Baron
der,Hacken,Hacken,Chop
der,Norden,kein Pl.,North
das,Böse,kein Pl.,Evil
das,Warten,kein Pl.,Waiting
der,Schub,Schübe,Surge
das,Lamm,Lämmer,Lamb
die,Wegwerfen,kein Pl.,Chuck
der,Neffe,Neffen,Nephew
der,Schmetterling,Schmetterlinge,Butterfly
der,Ahorn,Ahorne,Maple
der,Feierabend,Feierabende,End of work
die,Hoffnung,Hoffnungen,Hope
die,Bar,Bars,Bar
der,Ring,Ringe,Ring
die,Verbrennung,Verbrennungen,Burn
das,Café,Cafés,Cafe
die,Brieftasche,Brieftaschen,Wallet
das,Szenario,Szenarien,Scenario
die,Operation,Operationen,Operation/Surgery
das,Personal,kein Pl.,Personnel/Staff
die,Mahlzeit,Mahlzeiten,Meal
der,Produzent,Produzenten,Producer
der,Zigeuner,Zigeuner,Gypsy
die,Pyramide,Pyramiden,Pyramid
der,Hurrikan,Hurrikane,Hurricane
das,Gold,kein Pl.,Gold
die,Summe,Summen,Sum
das,Radar,kein Pl.,Radar
die,Wiege,Wiegen,Cradle/Crib
das,Recht,Rechte,Right
der,Bildschirm,Bildschirme,Display/Screen
die,Auswahl,Auswahlen,Selection
die,Zulassung,Zulassungen,Admission
das,Spektakel,Spektakel,Spectacle
der,Reisepass,Reisepässe,Passport
der,Teppich,Teppiche,Carpet/Rug
die,Folter,Folterungen,Torture
die,Kette,Ketten,Chain
das,Banner,Banner,Banner
das,Heu,kein Pl.,Hay
die,Reihe,Reihen,Row
der,Gestank,kein Pl.,Stench
die,Szene,Szenen,Scene
das,Frühstück,Frühstücke,Breakfast
die,Stecknadel,Stecknadeln,Pin
der,Poker,Pokers,Poker
der,Korb,Körbe,Basket
die,Situation,Situationen,Situation
das,Denkmal,Denkmäler,Memorial/Monument
der,Inhalt,Inhalte,Content
der,Clip,Clips,Clip
die,Einsamkeit,kein Pl.,Loneliness/Solitude
der,Chip,Chips,Chip
die,Eule,Eulen,Owl
das,Blei,kein Pl.,Lead
die,Front,Fronten,Front
der,Maulwurf,Maulwürfe,Mole
der,Unterarm,Unterarme,Forearm
die,Schere,Scheren,Scissors
die,Säge,Sägen,Saw
der,Ansatz,Ansätze,Approach
das,Ufer,Ufer,Shore
der,Schreibtisch,Schreibtische,Desk
die,Angelegenheit,Angelegenheiten,Affair/Matter
das,Mittagessen,Mittagessen,Lunch
das,Porträt,Porträts,Portrait
der,Saal,Säle,Hall
die,Geisel,Geiseln,Hostage
die,Linse,Linsen,Lens
das,Register,Register,Register
der,Schrei,Schreie,Scream/Shout
der,Sonnenaufgang,Sonnenaufgänge,Sunrise
der,Abschluss,Abschlüsse,Degree/Graduation
die,Generation,Generationen,Generation
die,Kampagne,Kampagnen,Campaign
das,Leuchten,Leuchten,Glow
die,Luftschleuse,Luftschleusen,Airlock
die,Nachrichten,Nachrichten,News
die,Oma,Omas,Grandma/Granny
der,Pilot,Piloten,Pilot
die,Scheidung,Scheidungen,Divorce
die,Tradition,Traditionen,Tradition
der,Bedienstete,Bediensteten,Attendant
die,Überschwemmung,Überschwemmungen,Flood
die,Ressource,Ressourcen,Resource
das,Fragment,Fragmente,Fragment
der,Pfeil,Pfeile,Arrow
die,Gans,Gänse,Goose
das,Lernen,Lernen,Learning
die,U-Bahn,U-Bahnen,Subway
die,Asche,Aschen,Ash
der,Dachboden,Dachböden,Attic/Loft
das,Studentenwohnheim,Studentenwohnheime,Dorm
das,Lachen,kein Pl.,Laugh/Laughter
der,Gips,kein Pl.,Plaster
die,Notiz,Notizen,Note
die,Farbe,Farben,Colour/Paint
das,Sandwich,Sandwiches,Sandwich
der,Gleichaltrige,Gleichaltrigen,Peer
die,Orange,Orangen,Orange
das,Rad,Räder,Wheel
der,Hof,Höfe,Yard
die,Perücke,Perücken,Wig
die,Krankheit,Krankheiten,Disease/Illness
die,Puppe,Puppen,Doll
die,Bestimmung,Bestimmungen,Determination
die,Skulptur,Skulpturen,Sculpture
das,Grün,kein Pl.,Green
der,Zeigefinger,Zeigefinger,Forefinger
die,Schauspielerin,Schauspielerinnen,Actress
der,Charakter,Charaktere,Character
das,Konto,Konten,Account
der,Scherben,Scherben,Shard
das,Insekt,Insekten,Insect
der,Reporter,Reporter,Reporter
die,Reaktion,Reaktionen,Reaction
der,Hai,Haie,Shark
die,Feder,Federn,Feather
der,Hut,Hüte,Hut
der,Botengang,Botengänge,Errand
die,Hochzeit,Hochzeiten,Wedding
der,Hinweis,Hinweise,Clue/Hint
die,Adresse,Adressen,Address
die,Verantwortung,kein Pl.,Responsibility
das,Mondschein,kein Pl.,Moonlight
die,Würde,kein Pl.,Dignity
der,Prominente,Prominenten,Celebrity
die,Verhaftung,Verhaftungen,Arrest
der,Krankenwagen,Krankenwagen,Ambulance
die,Show,Shows,Show
die,Unabhängigkeit,kein Pl.,Independence
die,Gemeinde,Gemeinden,Congregation
das,Geräusch,Geräusche,Noise
der,Ram,Rams,Ram
die,Unterstützung,kein Pl.,Support
das,Interesse,Interessen,Interest
die,Erdnuss,Erdnüsse,Peanut
die,Geburt,Geburten,Birth
die,Verpflichtung,Verpflichtungen,Commitment/Obligation
die,Bequemlichkeit,Bequemlichkeiten,Convenience
die,Flora,kein Pl.,Flora
die,Intensität,kein Pl.,Intensity
der,Charme,Charmes,Charm
das,Bedauern,kein Pl.,Regret
der,Zylinder,Zylinder,Cylinder
das,Funkel,Funkel,Sparkle
der,Altar,Altäre,Altar
das,Verhalten,kein Pl.,Behavior
der,Nagel,Nägel,Nail
der,Artikel,Artikel,Article
der,Diener,Diener,Servant
der,Rekorder,Rekorder,Recorder
der,Penner,Penner,Bum
das,Geld,kein Pl.,Money
die,Flagge,Flaggen,Flag
der,Verdächtige,Verdächtigen,Suspect
das,Auge,Augen,Eye
der,Text,Texte,Text
der,Mangel,kein Pl.,Lack/Shortage
die,Wolle,kein Pl.,Wool
der,Schlitz,Schlitz,Slot
der,Versuch,Versuche,Attempt/Try
der,Kopf,Köpfe,Head
das,Einkaufszentrum,Einkaufszentren,Mall
der,Hafen,Häfen,Dock/Harbor
die,Passform,Passformen,Fit
das,Becken,Becken,Basin
die,Göttin,Göttinnen,Goddess
der,Cowboy,Cowboys,Cowboy
die,Anhörung,Anhörungen,Hearing
die,Windschutzscheibe,Windschutzscheiben,Windshield
der,Gott,Götter,God
der,Star,Stare,Starling
die,Eiche,Eichen,Oak
der,Aufzug,Aufzüge,Elevator/Lift
die,Handlung,Handlungen,Plot
der,Magier,Magier,Mage/Magician
das,Haustier,Haustiere,Pet
der,Club,Clubs,Club
der,Major,Majore,Major
der,Bohrer,Bohrer,Drill
der,Vorsprung,Vorsprünge,Ledge
der,Anfang,Anfänge,Beginning
die,Fackel,Fackeln,Flare/Torch
der,Wettbewerb,Wettbewerbe,Competition
die,Bande,Banden,Gang
das,Outfit,Outfits,Outfit
der,Amerikaner,Amerikaner,American
die,Skizze,Skizzen,Sketch
der,Bügel,Bügel,Hanger
die,Ermüdung,kein Pl.,Fatigue
die,Ader,Adern,Vein
der,Garten,Gärten,Garden
das,Unternehmen,Unternehmen,Company/Corporation
die,Phase,Phasen,Phase
die,Pause,Pausen,Break/Pause
der,Ausgang,Ausgänge,Exit
der,Spaziergang,Spaziergänge,Walk
die,Gitarre,Gitarren,Guitar
das,Zelt,Zelte,Tent
der,Revolver,Revolver,Revolver
die,Zerstörung,Zerstörungen,Destruction
die,Spur,Spuren,Trace
das,Schweinefleisch,kein Pl.,Pork
die,Olive,Oliven,Olive
der,Anzug,Anzüge,Suit
der,Inspektor,Inspektoren,Inspector
die,Kiste,Kisten,Crate
das,Licht,Lichter,Light/Lighting
der,Roman,Romane,Novel
der,Fußabdruck,Fußabdrücke,Footstep
das,Anwesen,Anwesen,Estate
der,Metzger,Metzger,Butcher
das,Gebet,Gebete,Prayer
das,Nachthemd,Nachthemden,Nightgown
die,Autorität,Autoritäten,Authority
der,Weinbrand,kein Pl.,Brandy
die,Ehefrau,Ehefrauen,Wife
das,Fass,Fässer,Barrel
der,Pferdeschwanz,Pferdeschwänze,Ponytail
der,Onkel,Onkel,Uncle
der,Panzer,Panzer,Tank
der,Sand,kein Pl.,Sand
der,Schalter,Schalter,Switch
die,Schwierigkeit,Schwierigkeiten,Difficulty
das,Handtuch,Handtücher,Towel
das,Ereignis,Ereignisse,Event
die,Postkarte,Postkarten,Postcard
die,Rippe,Rippen,Rib
der,Markt,Märkte,Market
die,Anschuldigung,Anschuldigungen,Accusation
der,Spaß,kein Pl.,Fun
die,Beziehung,Beziehungen,Relationship
die,Panik,kein Pl.,Panic
der,Habicht,Habichte,Hawk
der,Maurer,Maurer,Mason
